,DE00,BE00,FR00,AT00,PL00,ES00
1982-01-01 00:00:00,50381.0,10032.7,59820,7843.84,13222.38,28259.09
1982-01-01 01:00:00,47195.48,9396.98,57700,7534.63,12957.22,26950.15
1982-01-01 02:00:00,45182.17,8909.74,54781,7295.18,12945.8,25339.38
1982-01-01 03:00:00,44077.48,8627.74,52230,7071.4,13219.26,23695.65
1982-01-01 04:00:00,43622.71,8500.46,50778,6746.28,14318.67,22525.65
1982-01-01 05:00:00,43368.47,8596.38,51004,6577.07,17341.69,21370.35
1982-01-01 06:00:00,42542.89,8943.29,51181,6942.1,19157.11,20416.92
1982-01-01 07:00:00,42362.31,9374.79,52539,7727.39,20129.3,20584.83
1982-01-01 08:00:00,44638.74,9839.27,54729,8512.19,20757.3,22252.62
1982-01-01 09:00:00,47928.93,10080.83,56820,9540.08,20884.56,23892.26
1982-01-01 10:00:00,51589.13,10381.79,58292,10320.81,21158.28,25419.13
1982-01-01 11:00:00,53921.05,10213.18,60462,9962.82,21378.7,26639.41
1982-01-01 12:00:00,55618.87,10044.81,58652,9236.73,21617.1,27083.85
1982-01-01 13:00:00,54930.05,9906.33,56588,8863.9,21402.69,27120.1
1982-01-01 14:00:00,53627.1,9960.52,55407,8795.87,21463.8,27349.56
1982-01-01 15:00:00,53062.22,9997.87,55587,8757.28,22553.35,26868.51
1982-01-01 16:00:00,53923.38,10622.62,59339,8816.04,22441.55,26381.53
1982-01-01 17:00:00,56752.12,10956.0,62382,9165.82,22165.17,26576.02
1982-01-01 18:00:00,60700.98,11115.3,63401,9422.66,22123.47,27469.95
1982-01-01 19:00:00,61173.24,10842.69,61806,9317.33,21460.22,29543.19
1982-01-01 20:00:00,58679.66,10380.55,59370,9016.27,19970.0,30864.74
1982-01-01 21:00:00,55286.85,10764.08,61489,8627.94,18583.94,31069.69
1982-01-01 22:00:00,53229.18,11014.13,62798,8301.3,17012.7,30735.39
1982-01-01 23:00:00,51810.74,10573.21,61381,8297.79,19142.81,30710.97
1982-01-02 00:00:00,56743.97,9496.65,60177,8250.6,18616.27,29658.12
1982-01-02 01:00:00,52951.87,8839.85,58338,7831.95,18250.12,28148.24
1982-01-02 02:00:00,50725.82,8437.26,56246,7521.39,18283.86,26512.03
1982-01-02 03:00:00,49730.81,8235.6,54883,7331.16,18441.4,24996.5
1982-01-02 04:00:00,49852.96,8061.91,55150,7261.99,19195.68,24059.08
1982-01-02 05:00:00,50877.04,8521.47,59520,7648.11,21643.83,23226.66
1982-01-02 06:00:00,52965.78,8885.85,63239,8644.01,23252.74,22929.44
1982-01-02 07:00:00,57798.97,9296.94,65806,9816.2,24059.69,23989.75
1982-01-02 08:00:00,62783.66,9741.06,67286,10713.61,24465.66,26380.62
1982-01-02 09:00:00,65639.45,10016.3,67970,11761.14,24528.55,28466.24
1982-01-02 10:00:00,67863.89,10342.54,68370,12543.84,24739.57,30033.79
